Datetime,Water Level (m)
2023-01-15 00:00:00,0.8267232
2023-01-15 01:00:00,0.5661368
2023-01-15 02:00:00,0.06273327
2023-01-15 03:00:00,-0.54186916
2023-01-15 04:00:00,-1.1544465
2023-01-15 05:00:00,-1.6754539
2023-01-15 06:00:00,-2.0064118
2023-01-15 07:00:00,-1.9279445
2023-01-15 08:00:00,-1.262164
2023-01-15 09:00:00,-0.4488962
2023-01-15 10:00:00,0.29071835
2023-01-15 11:00:00,0.81587213
2023-01-15 12:00:00,1.0665749
2023-01-15 13:00:00,1.0325705
2023-01-15 14:00:00,0.704283
2023-01-15 15:00:00,0.16998322
2023-01-15 16:00:00,-0.4386176
2023-01-15 17:00:00,-1.0215776
2023-01-15 18:00:00,-1.4465774
2023-01-15 19:00:00,-1.6273857
2023-01-15 20:00:00,-1.3800864
2023-01-15 21:00:00,-0.77521855
2023-01-15 22:00:00,-0.14050072
2023-01-15 23:00:00,0.3876905
2023-01-16 00:00:00,0.6771901
2023-01-16 01:00:00,0.7137372
2023-01-16 02:00:00,0.47383788
2023-01-16 03:00:00,-0.008200761
2023-01-16 04:00:00,-0.60522515
2023-01-16 05:00:00,-1.2018373
2023-01-16 06:00:00,-1.7094576
2023-01-16 07:00:00,-2.0243216
2023-01-16 08:00:00,-1.9619124
2023-01-16 09:00:00,-1.3630142
2023-01-16 10:00:00,-0.5978166
2023-01-16 11:00:00,0.15213156
2023-01-16 12:00:00,0.72855484
2023-01-16 13:00:00,1.0441272
2023-01-16 14:00:00,1.0844849
2023-01-16 15:00:00,0.820451
2023-01-16 16:00:00,0.30977997
2023-01-16 17:00:00,-0.31464994
2023-01-16 18:00:00,-0.90727776
2023-01-16 19:00:00,-1.40863
2023-01-16 20:00:00,-1.6849626
2023-01-16 21:00:00,-1.6088109
2023-01-16 22:00:00,-1.1185528
2023-01-16 23:00:00,-0.48951283
2023-01-17 00:00:00,0.079598844
2023-01-17 01:00:00,0.4540541
2023-01-17 02:00:00,0.59837335
2023-01-17 03:00:00,0.48714423
2023-01-17 04:00:00,0.11920222
2023-01-17 05:00:00,-0.43033528
2023-01-17 06:00:00,-1.0372643
2023-01-17 07:00:00,-1.5700908
2023-01-17 08:00:00,-1.964385
2023-01-17 09:00:00,-2.02886
2023-01-17 10:00:00,-1.5072681
2023-01-17 11:00:00,-0.69085914
2023-01-17 12:00:00,0.11047654
2023-01-17 13:00:00,0.75257635
2023-01-17 14:00:00,1.1193467
2023-01-17 15:00:00,1.2155288
2023-01-17 16:00:00,0.9999862
2023-01-17 17:00:00,0.51052874
2023-01-17 18:00:00,-0.11741008
2023-01-17 19:00:00,-0.79116654
2023-01-17 20:00:00,-1.3785384
2023-01-17 21:00:00,-1.7909262
2023-01-17 22:00:00,-1.8981771
2023-01-17 23:00:00,-1.4949217
2023-01-18 00:00:00,-0.78664434
2023-01-18 01:00:00,-0.11693612
2023-01-18 02:00:00,0.4027182
2023-01-18 03:00:00,0.6533174
2023-01-18 04:00:00,0.6250484
2023-01-18 05:00:00,0.3018802
2023-01-18 06:00:00,-0.2565093
2023-01-18 07:00:00,-0.9147328
2023-01-18 08:00:00,-1.5410178
2023-01-18 09:00:00,-2.0237737
2023-01-18 10:00:00,-2.206297
2023-01-18 11:00:00,-1.7086694
2023-01-18 12:00:00,-0.7736191
2023-01-18 13:00:00,0.12682085
2023-01-18 14:00:00,0.8821333
2023-01-18 15:00:00,1.2951953
2023-01-18 16:00:00,1.4214534
2023-01-18 17:00:00,1.2035539
2023-01-18 18:00:00,0.68117493
2023-01-18 19:00:00,-0.033462454
2023-01-18 20:00:00,-0.81670415
2023-01-18 21:00:00,-1.5135785
2023-01-18 22:00:00,-2.0412264
2023-01-18 23:00:00,-2.241393
2023-01-19 00:00:00,-1.8365195
2023-01-19 01:00:00,-0.9537302
2023-01-19 02:00:00,-0.12723152
2023-01-19 03:00:00,0.5323477
2023-01-19 04:00:00,0.8343635
2023-01-19 05:00:00,0.8220932
2023-01-19 06:00:00,0.47032613
2023-01-19 07:00:00,-0.15318535
2023-01-19 08:00:00,-0.9042414
2023-01-19 09:00:00,-1.6026655
2023-01-19 10:00:00,-2.1627762
2023-01-19 11:00:00,-2.403527
2023-01-19 12:00:00,-1.8815123
2023-01-19 13:00:00,-0.8020261
2023-01-19 14:00:00,0.2144413
2023-01-19 15:00:00,1.0623434
2023-01-19 16:00:00,1.511885
2023-01-19 17:00:00,1.655757
2023-01-19 18:00:00,1.4128773
2023-01-19 19:00:00,0.7971652
2023-01-19 20:00:00,-0.033157762
2023-01-19 21:00:00,-0.9090075
2023-01-19 22:00:00,-1.6779623
2023-01-19 23:00:00,-2.2866292
2023-01-20 00:00:00,-2.5472765
2023-01-20 01:00:00,-2.0208755
2023-01-20 02:00:00,-0.9112219
2023-01-20 03:00:00,0.042316783
2023-01-20 04:00:00,0.7611556
2023-01-20 05:00:00,1.0474598
2023-01-20 06:00:00,0.9961536
2023-01-20 07:00:00,0.5739892
2023-01-20 08:00:00,-0.14436093
2023-01-20 09:00:00,-0.9436755
2023-01-20 10:00:00,-1.7158706
2023-01-20 11:00:00,-2.3074586
2023-01-20 12:00:00,-2.589922
2023-01-20 13:00:00,-1.9472533
2023-01-20 14:00:00,-0.68557656
2023-01-20 15:00:00,0.43551365
2023-01-20 16:00:00,1.3577275
2023-01-20 17:00:00,1.799088
2023-01-20 18:00:00,1.9016272
2023-01-20 19:00:00,1.549967
2023-01-20 20:00:00,0.779755
2023-01-20 21:00:00,-0.16487367
2023-01-20 22:00:00,-1.0999147
2023-01-20 23:00:00,-1.8943424
2023-01-21 00:00:00,-2.532862
